"Emission magnitude [kgh]","Cumulative emissions [kgh]","Cumulative emissions fraction [%]","Cumulative fraction of sites"
0.00000000000000,2539.21856990240300,1.00000000000000,
20.67856617912200,2518.54000372328100,0.99185632681478,
27.38436310866005,2491.15564061462100,0.98107176362938,
27.64725009802144,2463.50839051659930,0.97018366977809,
28.21601191251190,2435.29237860408800,0.95907158504189,
44.04917870886153,2391.24319989522600,0.94172405173736,
47.02900282505595,2344.21419707017000,0.92320299829891,
52.35753440253757,2291.85666266763250,0.90258345218219,
58.12042092732172,2233.73624174031100,0.87969435487634,
63.48069823444412,2170.25554350586660,0.85469426272717,
68.87951875484208,2101.37602475102450,0.82756799657140,
86.43962524136539,2014.93639950965920,0.79352617509689,
94.84135980055166,1920.09503970910760,0.75617556616361,
96.56915283599520,1823.52588687311250,0.71814451441382,
102.37460179013839,1721.15128508297400,0.67782714945611,
107.72179483789873,1613.42949024507520,0.63540394252358,
125.34829399575594,1488.08119624931940,0.58603903338125,
142.21585912072624,1345.86533712859320,0.53003130690728,
145.10076613038893,1200.76457099820440,0.47288744073904,
150.56085295071654,1050.20371804748790,0.41359327255072,
159.78880801115830,890.41491003632950,0.35066493313750,
192.48011629069853,697.93479374563090,0.27486203906128,
251.74102754161220,446.19376620401863,0.17572089755990,
446.19376620401850,0.00000000000000,0.00000000000000,